"a","aname","bdate","sexo","f"
"http://dbpedia.org/resource/Peter_MacNeill","Peter MacNeill","2000-1-1","male","http://dbpedia.org/resource/Butterbox_Babies_(film)"
"http://dbpedia.org/resource/Renée_Adorée","Renée Adorée",1898-09-30,"female","http://dbpedia.org/resource/The_Show_(1927_film)"
"http://dbpedia.org/resource/Renée_Adorée","Renée Adorée","1898-9-30","female","http://dbpedia.org/resource/The_Show_(1927_film)"
"http://dbpedia.org/resource/Robert_Pattinson","Robert Pattinson",1986-05-13,"male","http://dbpedia.org/resource/The_Twilight_Saga_(film_series)"
"http://dbpedia.org/resource/Robert_Pattinson","Robert Pattinson","1986-5-13","male","http://dbpedia.org/resource/The_Twilight_Saga_(film_series)"
"http://dbpedia.org/resource/Robert_Pattinson","Robert Pattinson",1986-05-13,"male","http://dbpedia.org/resource/Twilight_(2008_film)"
"http://dbpedia.org/resource/Robert_Pattinson","Robert Pattinson","1986-5-13","male","http://dbpedia.org/resource/Twilight_(2008_film)"
"http://dbpedia.org/resource/Russell_Dykstra","Russell Dykstra",1966-12-31,"male","http://dbpedia.org/resource/The_Wannabes"
"http://dbpedia.org/resource/Ryan_Johnson_(actor)","Ryan Johnson","1979-1-1","male","http://dbpedia.org/resource/The_Wannabes"
"http://dbpedia.org/resource/Santiago_Segura","Santiago Segura",1965-07-17,"male","http://dbpedia.org/resource/Torrente,_el_brazo_tonto_de_la_ley"
"http://dbpedia.org/resource/Santiago_Segura","Santiago Segura","1965-7-17","male","http://dbpedia.org/resource/Torrente,_el_brazo_tonto_de_la_ley"
"http://dbpedia.org/resource/Santiago_Segura","Santiago Segura",1965-07-17,"male","http://dbpedia.org/resource/Torrente_2:_Misión_en_Marbella"
"http://dbpedia.org/resource/Santiago_Segura","Santiago Segura","1965-7-17","male","http://dbpedia.org/resource/Torrente_2:_Misión_en_Marbella"
"http://dbpedia.org/resource/Santiago_Segura","Santiago Segura",1965-07-17,"male","http://dbpedia.org/resource/Torrente_3:_El_protector"
"http://dbpedia.org/resource/Santiago_Segura","Santiago Segura","1965-7-17","male","http://dbpedia.org/resource/Torrente_3:_El_protector"
"http://dbpedia.org/resource/Santiago_Segura","Santiago Segura",1965-07-17,"male","http://dbpedia.org/resource/Torrente_4:_Lethal_Crisis"
"http://dbpedia.org/resource/Santiago_Segura","Santiago Segura","1965-7-17","male","http://dbpedia.org/resource/Torrente_4:_Lethal_Crisis"
"http://dbpedia.org/resource/Santiago_Segura","Santiago Segura",1965-07-17,"male","http://dbpedia.org/resource/Wild_Oats_(film)"
"http://dbpedia.org/resource/Santiago_Segura","Santiago Segura","1965-7-17","male","http://dbpedia.org/resource/Wild_Oats_(film)"
"http://dbpedia.org/resource/Victor_Mature","Victor Mature",1913-01-29,"male","http://dbpedia.org/resource/Timbuktu_(1959_film)"
